Prd_Nr,Swissmedic_Nr,Swissmedic_Nm,Abgabekategorie
1196313,62169,"Adcirca, comprimés pelliculés",B
1291987,65153,Addaven. Infusionskonzentrat,B
1255070,62903,"Adempas 0.5 mg, Filmtabletten",B
1255071,62903,"Adempas 1 mg, Filmtabletten",B
1255072,62903,"Adempas 1.5 mg, Filmtabletten",B
1255073,62903,"Adempas 2 mg, Filmtabletten",B
1255074,62903,"Adempas 2.5 mg, Filmtabletten",B
1327720,65851,"Adenuric 80 mg, Filmtabletten",B
1454752,67523,"Adler Allergie D6/D12, Tabletten",D
1366699,65111,"Adler Calmin, Tabletten",D
1509090,68333,"Adler Euclim, Tabletten",D
1367470,65112,"Adler Ferruplex, Tabletten",D
1547416,68893,"Adler Gelenkscomplex, Tabletten",D
1541896,68745,"Adler Juvebene, Tabletten",D
1367471,65114,"Adler Vita, Tabletten",D
1154531,60613,"Adonis vernalis / Crataegus comp., Tropfen zum Einnehmen",D
1257684,60299,"Adonis/Scilla comp., Solutio ad injectionem",B
1523897,66396,"Adrenalin Aguettant 0,1 mg/ml, solution injectable en seringue préremplie",B
1523876,66396,"Adrenalin Aguettant 1 mg/ml, solution injectable en seringue préremplie",B
29587,56514,"Adrenalin Amino 0,5mg/ml, Injektionslösung",B
29588,56514,"Adrenalin Amino 1mg/ml, Injektionslösung",B
1005575,56472,"Adrenalin Bichsel 0,1 mg/ml, Injektionslösung (i.v.)",B
1130724,56472,"Adrenalin Bichsel 0,5 mg/ml, Injektionslösung (s.c.)",B
1146446,56551,"Adrenalin Sintetica 1.0 mg/ml, soluzione iniettabile / concentrato per soluzione iniettabile/per infusione",B
257,50357,"Adriblastin RD 10 mg, Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",A
258,50357,"Adriblastin RD 50 mg, Pulver zur Herstellung einer Injektionslösung",A
26615,50358,"Adriblastin Solution 10 mg/5 ml, Injektionslösung",A
26617,50358,"Adriblastin Solution 20 mg/10 ml, Injektionslösung",A
26616,50358,"Adriblastin Solution 50 mg/25 ml, Injektionslösung",A
1498478,68229,"Adtralza 150mg/ml, Injektionslösung in einer Fertigspritze",B
1207145,58809,"Advagraf 0.5 mg, Retardkapseln",A
1207146,58809,"Advagraf 1 mg, Retardkapseln",A
1237724,58809,"Advagraf 3 mg, Retardkapseln",A
1207147,58809,"Advagraf 5 mg, Retardkapseln",A
31065,51177,"Advantan, Crème",B
31067,51178,"Advantan, Salbe",B
1014467,56909,"Advantix 100 ad us. vet., Spot-on Lösung für Hunde",B
1014468,56909,"Advantix 250 ad us. vet., Spot-on Lösung für Hunde",B
1014466,56909,"Advantix 40 ad us. vet., Spot-on Lösung für Hunde",B
1014469,56909,"Advantix 400 ad us. vet., Spot-on Lösung für Hunde",B
1305511,56352,"Advate 1000 U.I. (2 ml), Lyophilisat und Lösungsmittel zur intravenösen Injektion",B
1305512,56352,"Advate 1500 U.I. (2 ml), Lyophilisat und Lösungsmittel zur intravenösen Injektion",B
1305513,56352,"Advate 2000 U.I. (5 ml), Lyophilisat und Lösungsmittel zur intravenösen Injektion",B
1305514,56352,"Advate 250 U.I. (2 ml), Lyophilisat und Lösungsmittel zur intravenösen Injektion",B
1305515,56352,"Advate 3000 U.I. (5 ml), Lyophilisat und Lösungsmittel zur intravenösen Injektion",B
1305516,56352,"Advate 500 U.I. (2 ml), Lyophilisat und Lösungsmittel zur intravenösen Injektion",B
1559949,57139,"Advocate 100 für Hunde ad us. vet., Spot-on",B
1559950,57139,"Advocate 250 für Hunde ad us. vet., Spot-on",B
1559948,57139,"Advocate 40 für Hunde ad us. vet., Spot-on",B
1559944,57040,"Advocate 40 für Katzen und Frettchen ad us. vet., Spot-on",B
1559951,57139,"Advocate 400 für Hunde ad us. vet., Spot-on",B
1559945,57040,"Advocate 80 für Katzen ad us. vet., Spot-on",B
1379461,65953,"Adynovi 1000 IE (2 ml), Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1456165,65953,"Adynovi 1500 IE (2 ml), Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1330982,65953,"Adynovi 2000 IE (5 ml), Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1379459,65953,"Adynovi 250 IE (2 ml), Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1456167,65953,"Adynovi 3000 IE (5 ml), Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
1379460,65953,"Adynovi 500 IE (2 ml), Pulver und Lösungsmittel zur Herstellung einer Injektionslösung",B
97112,55689,"Aerius, Filmtabletten",D
1165516,55958,"Aerius, Lösung zum Einnehmen",B
1533954,55932,"Aesculaforce forte Venen, Filmtabletten",D
1538988,57364,"Aesculamed forte Venen, Filmtabletten",D
1210321,62227,"Aesculus/Quercus comp., Suppositorien",D
80113,33273,"Aethoxysklerol 0.25 %, Injektionslösung",B
364,33273,"Aethoxysklerol 0.5 %, Injektionslösung",B
1384456,33273,"Aethoxysklerol 1 %, Injektionslösung",B
1384458,33273,"Aethoxysklerol 3 %, Injektionslösung",B
376,43993,"Aethylchlorid Sintetica, spray cutaneo",B
1550018,69402,"Afelor Liquid Caps forte 400 mg, Weichkapseln",D
1552615,69416,"Afelor Lysinat forte 400 mg, Filmtabletten",D
1627478,69487,"Afenadin 120, Filmtabletten",D
1137874,59174,"Afinitor 10mg, Tabletten",A
1239478,59174,"Afinitor 2.5mg, Tabletten",A
1137872,59174,"Afinitor 5mg, Tabletten",A
1376320,66030,"Afstyla 1000 IE, Lyophilisat und Lösungsmittel zur Herstellung einer Injektionslösung",B
1376322,66030,"Afstyla 2000 IE, Lyophilisat und Lösungsmittel zur Herstellung einer Injektionslösung",B
1376319,66030,"Afstyla 500 IE, Lyophilisat und Lösungsmittel zur Herstellung einer Injektionslösung",B
1115441,59888,Agaricus comp./Phosphorus Ampullen (s.c.),B
83936,62940,"Agaricus plus, Tropfen",D
